K,V
437,16
438,26
439,24
440,25
441,20
442,18
443,25
444,19
445,17
446,21
447,15
448,30
449,29
450,26
451,28
452,19
453,26
454,17
455,18
456,18
457,21
458,22
459,24
460,18
461,19
462,24
463,17
464,23
465,24
466,27
467,14
468,18
469,26
470,23
471,18
472,18
473,17
474,21
475,29
476,13
477,23
478,19
479,17
480,13
481,22
482,20
483,22
484,18
485,13
486,22
487,24
488,22
489,21
490,21
491,30
492,24
493,21
494,16
495,16
496,23
497,13
498,14
499,15
500,21
501,19
502,29
503,23
504,18
505,21
506,23
507,15
508,21
509,22
510,17
511,14
512,28
513,20
514,17
515,18
516,14
517,27
518,11
519,9
520,17
521,17
522,19
523,19
524,22
525,20
526,22
527,24
528,15
529,20
530,22
531,16
532,20
533,16
534,21
535,15
536,23
537,23
538,17
539,19
540,17
541,8
542,17
543,19
544,13
545,16
546,27
547,14
548,21
549,17
550,25
551,26
552,12
553,17
554,16
555,8
556,20
557,12
558,23
559,19
560,13
561,18
562,15
563,27
564,11
565,15
566,16
567,16
568,22
569,19
570,15
571,9
572,23
573,14
574,21
575,11
576,19
577,12
578,10
579,15
580,16
581,24
582,15
583,24
584,14
585,17
586,11
587,22
588,19
589,13
590,15
591,14
592,21
593,19
594,11
595,15
596,23
597,9
598,24
599,15
600,13
601,18
602,18
603,10
604,9
605,17
606,16
607,18
608,22
609,13
610,14
611,17
612,12
613,9
614,16
615,13
616,9
617,13
618,14
619,19
620,18
621,13
622,16
623,17
624,21
625,23
626,16
627,17
628,20
629,14
630,11
631,14
632,14
633,13
634,12
635,19
636,14
637,16
638,14
639,16
640,15
641,11
642,14
643,17
644,16
645,14
646,18
647,15
648,23
649,11
650,15
651,11
652,17
653,23
654,13
655,19
656,13
657,16
658,16
659,13
660,10
661,14
662,13
663,7
664,14
665,16
666,15
667,8
668,7
669,15
670,9
671,12
672,11
673,15
674,12
675,17
676,19
677,12
678,12
679,19
680,17
681,15
682,21
683,17
684,16
685,10
686,12
687,13
688,13
689,14
690,14
691,19
692,12
693,9
694,15
695,10
696,11
697,7
698,10
699,15
700,20
701,11
702,15
703,11
704,9
705,13
706,8
707,9
708,9
709,7
710,13
711,10
712,13
713,11
714,10
715,12
716,14
717,15
718,19
719,10
720,15
721,15
722,15
723,19
724,16
725,13
726,10
727,18
728,9
729,9
730,16
731,13
732,10
733,11
734,11
735,6
736,11
737,11
738,13
739,12
740,14
741,14
742,18
743,14
744,12
745,17
746,15
747,10
748,13
749,13
750,13
751,6
752,13
753,13
754,15
755,13
756,10
757,10
758,12
759,12
760,10
761,12
762,9
763,12
764,12
765,6
766,10
767,11
768,10
769,12
770,15
771,11
772,12
773,12
774,14
775,14
776,22
777,12
778,14
779,9
780,7
781,14
782,9
783,13
784,8
785,11
786,5
787,17
788,11
789,12
790,9
791,14
792,13
793,10
794,10
795,15
796,11
797,14
798,13
799,10
800,16
801,9
802,6
803,9
804,10
805,11
806,13
807,11
808,9
809,9
810,6
811,12
812,7
813,9
814,7
815,11
816,16
817,6
818,13
819,16
820,15
821,5
822,8
823,9
824,6
825,14
826,11
827,8
828,9
829,6
830,9
831,9
832,9
833,13
834,8
835,9
836,7
837,11
838,6
839,10
840,11
841,6
842,7
843,9
844,12
845,13
846,12
847,9
848,10
849,15
850,11
851,12
852,9
853,11
854,17
855,12
856,5
857,5
858,9
859,12
860,11
861,8
862,10
863,7
864,10
865,13
866,7
867,11
868,15
869,15
870,13
871,7
872,9
873,12
874,17
875,12
876,7
877,4
878,7
879,12
880,7
881,13
882,7
883,6
884,14
885,12
886,8
887,8
888,9
889,12
890,8
891,17
892,5
893,12
894,4
895,8
896,7
897,9
898,5
899,15
900,12
901,7
902,13
903,13
904,5
905,6
906,7
907,12
908,10
909,8
910,9
911,14
912,14
913,7
914,4
915,9
916,8
917,14
918,9
919,3
920,10
921,5
922,6
923,11
924,11
925,10
926,8
927,10
928,8
929,12
930,1
931,7
932,4
933,10
934,7
935,10
936,9
937,14
938,14
939,8
940,9
941,9
942,11
943,7
944,11
945,14
946,8
947,6
948,10
949,10
950,9
951,7
952,11
953,9
954,7
955,8
956,13
957,10
958,9
959,14
960,8
961,13
962,3
963,10
964,6
965,9
966,9
967,7
968,9
969,17
970,9
971,18
972,9
973,6
974,8
975,6
976,10
977,6
978,6
979,8
980,9
981,10
982,6
983,7
984,8
985,10
986,10
987,6
988,13
989,12
990,9
991,9
992,15
993,9
994,9
995,15
996,9
997,10
998,5
999,7
1000,9
