K,V
355,7
356,5
357,3
359,4
360,1
361,2
362,4
363,2
364,3
366,3
367,1
368,3
370,3
372,2
375,1
377,5
378,2
380,1
381,3
382,1
383,3
384,2
385,3
386,3
387,2
388,4
389,2
390,3
391,1
392,5
393,1
394,1
395,4
396,3
397,2
398,1
399,3
400,3
404,3
405,2
406,2
407,1
408,1
409,2
410,3
411,5
412,2
413,2
414,3
415,3
416,1
418,2
419,1
420,2
421,2
422,1
423,1
424,1
426,3
427,6
428,1
429,2
430,3
431,1
432,4
433,3
434,2
435,3
436,3
437,2
438,1
441,2
444,1
445,2
448,2
449,2
450,2
451,3
452,1
453,3
454,3
455,1
456,2
457,3
458,3
459,2
460,3
462,2
463,2
464,3
465,3
468,1
470,2
472,1
474,2
478,1
479,1
480,1
481,3
482,2
484,1
486,2
487,1
488,1
489,2
491,2
492,1
493,1
494,3
495,3
496,2
497,1
498,1
499,2
500,2
501,2
502,1
503,1
504,2
505,1
506,2
507,1
508,1
511,1
512,1
513,4
515,1
517,2
518,3
519,1
520,2
522,1
523,2
524,2
525,2
527,2
528,1
529,1
530,1
531,2
532,2
533,1
534,2
536,1
537,3
538,1
539,3
540,1
541,2
542,1
546,1
547,1
548,1
549,2
550,1
553,1
555,1
557,3
558,1
561,2
564,1
566,1
567,1
568,1
569,1
570,1
571,4
573,1
574,2
576,1
578,1
580,1
581,1
582,3
584,3
585,1
586,1
588,2
592,2
593,2
594,1
595,2
596,2
597,2
598,1
601,1
602,1
608,1
609,5
610,2
611,1
612,1
617,1
620,1
621,2
624,1
629,2
630,1
633,1
635,1
636,3
638,2
639,1
640,1
641,2
642,1
643,3
644,2
645,1
648,1
650,1
651,1
652,2
654,1
655,1
660,1
662,2
668,2
669,1
670,2
674,1
675,1
679,2
680,2
681,2
684,1
685,3
686,1
687,1
688,1
689,1
690,2
691,2
692,1
694,1
696,1
697,4
698,2
700,1
703,1
704,2
707,2
709,3
710,1
713,1
715,1
719,1
721,1
723,2
724,1
726,1
728,1
729,1
736,1
737,1
738,1
739,1
740,1
741,1
743,1
745,1
753,1
754,2
755,1
756,1
759,3
761,1
765,1
767,1
768,1
771,1
774,1
775,1
776,1
778,1
779,1
785,1
786,1
795,2
797,1
798,1
799,2
800,2
805,2
807,1
808,1
809,1
812,1
816,2
823,1
828,2
841,1
846,1
847,2
848,2
850,1
852,2
853,1
854,1
856,1
857,1
859,1
862,1
863,1
865,1
867,1
869,3
871,2
873,1
874,1
880,2
881,1
882,1
884,1
888,2
892,2
893,1
894,1
896,2
897,1
898,1
917,2
922,1
923,1
929,1
933,1
934,1
937,1
941,1
945,1
946,1
950,1
952,1
953,1
957,1
958,1
959,2
961,1
965,1
968,2
973,1
974,1
975,1
980,2
981,1
983,1
989,1
992,1
994,1
995,1
